sample_name,depth_ft,A,B,C,G
WP1,54,5.26496E-05,0.004659489,0.994603417,0.000684445
WP2,51,9.23574E-05,0.004617871,0.994550912,0.000738859
WP3,51,0.000125865,0.003618628,0.995500315,0.000755192
WP5,50,0.014464761,0.005751567,0.978796463,0.000987209
WP6,54,0.001047434,0.003680982,0.994194224,0.00107736
WP7,42.65,6.62098E-05,0.115767868,0.88313967,0.001026252
WP8,39.7,0.000175747,0.079161436,0.919884509,0.000778308
WP10,37.73,7.38007E-05,0.005166052,0.993874539,0.000885609
WP11,38,0.015841345,0.005119213,0.588487817,0.390551625
WP12,37.73,6.60567E-05,0.271228986,0.728077419,0.000627539
WP13,23,9.42685E-05,0.496637758,0.502639517,0.000628457
WP14,24,0.010098855,0.00673257,0.982528507,0.000640068
WP15,24,0.000209937,0.782645206,0.21410077,0.003044087
WP17,23,0.001725985,0.006755148,0.990298774,0.001220093
WP21,23,0.000130693,0.80496199,0.193731077,0.00117624